"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"191","tt0328832","Mon Feb 13 15:20:14 2012","Mon Feb 13 15:20:14 2012","","The Animatrix","Feature Film","Peter Chung, Andrew R. Jones","7.4","102","2003","animation, action, adventure, sci_fi","56107","2003-04-17","http://www.imdb.com/title/tt0328832/"
"192","tt1182345","Mon Feb 13 15:23:24 2012","Mon Feb 13 15:23:24 2012","","Moon","Feature Film","Duncan Jones","8.0","97","2009","drama, sci_fi","221967","2009-01-23","http://www.imdb.com/title/tt1182345/"
"193","tt1136608","Mon Feb 13 15:23:37 2012","Mon Feb 13 15:23:37 2012","","District 9","Feature Film","Neill Blomkamp","8.0","112","2009","action, sci_fi, thriller","475421","2009-08-13","http://www.imdb.com/title/tt1136608/"
"194","tt0088763","Tue Feb 14 11:26:42 2012","Tue Feb 14 11:26:42 2012","","Back to the Future","Feature Film","Robert Zemeckis","8.5","116","1985","adventure, comedy, sci_fi","592395","1985-07-03","http://www.imdb.com/title/tt0088763/"
"195","tt0096874","Tue Feb 14 11:26:59 2012","Tue Feb 14 11:26:59 2012","","Back to the Future Part II","Feature Film","Robert Zemeckis","7.8","108","1989","adventure, comedy, sci_fi","270597","1989-11-22","http://www.imdb.com/title/tt0096874/"
"196","tt0099088","Tue Feb 14 11:27:21 2012","Tue Feb 14 11:27:21 2012","","Back to the Future Part III","Feature Film","Robert Zemeckis","7.4","118","1990","adventure, comedy, sci_fi, western","223459","1990-05-25","http://www.imdb.com/title/tt0099088/"
"197","tt0379786","Tue Feb 14 11:27:42 2012","Tue Feb 14 11:27:42 2012","","Serenity","Feature Film","Joss Whedon","8.0","119","2005","action, adventure, sci_fi, thriller","219961","2005-08-22","http://www.imdb.com/title/tt0379786/"
"198","tt0486655","Thu Mar  7 12:26:15 2013","Thu Mar  7 12:26:15 2013","","Stardust","Feature Film","Matthew Vaughn","7.7","127","2007","adventure, family, fantasy, romance","192772","2007-08-09","http://www.imdb.com/title/tt0486655/"
"199","tt0032138","Thu Mar  7 12:26:38 2013","Thu Mar  7 12:26:38 2013","","The Wizard of Oz","Feature Film","Victor Fleming","8.1","102","1939","adventure, family, fantasy, musical","248185","1939-08-12","http://www.imdb.com/title/tt0032138/"
"200","tt1343727","Thu Mar  7 12:27:04 2013","Thu Mar  7 12:27:04 2013","","Dredd","Feature Film","Pete Travis","7.0","95","2012","action, sci_fi","178187","2012-07-11","http://www.imdb.com/title/tt1343727/"
"201","tt0113492","Thu Mar  7 12:27:15 2013","Thu Mar  7 12:27:15 2013","","Judge Dredd","Feature Film","Danny Cannon","5.4","96","1995","action, crime, sci_fi, thriller","78142","1995-06-30","http://www.imdb.com/title/tt0113492/"
"202","tt0119116","Thu Mar  7 12:27:29 2013","Thu Mar  7 12:27:29 2013","","The Fifth Element","Feature Film","Luc Besson","7.6","126","1997","action, adventure, sci_fi","301949","1997-05-07","http://www.imdb.com/title/tt0119116/"
